ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"91.150.77.58","elite","AS8400","RS","TELEKOM SRBIJA a.d.","28","Skupstina stanara solitera Y","56921","socks4","1","97","4239","4391","2025-12-07T20:37:27.177Z","4597"
"159.138.54.27","elite","AS136907","HK","Huawei International Pte. Ltd.","182","N/A","24388","socks5","1","57","6267","11069","2025-12-07T20:37:27.095Z","3293"
"45.126.169.185","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","136","NET 4 U Services PVT LTD","4145","socks4","1","99","11029","11101","2025-12-07T20:37:27.095Z","3013"
"104.18.41.150","elite","AS13335","US","Cloudflare, Inc.","10","Cloudflare, Inc.","2087","socks4","1","100","3491","3492","2025-12-07T20:37:27.090Z","3774"
"123.25.116.228","elite","AS45899","VN","VietNam Post and Telecom Corporation","185","Vietnam Posts and Telecommunications Group","1080","socks4","1","95","10551","11113","2025-12-07T20:37:27.181Z","4013"
"171.4.21.146","elite","AS45758","TH","Triple T Broadband Public Company Limited","173","Triple T Broadband Public Company Limited","8080","socks4","1","92","1306","1413","2025-12-07T20:37:27.097Z","2996"
"45.116.114.37","elite","AS58898","IN","Rainbow communications India Pvt Ltd","193","Rainbow Communications India Pvt Ltd","5678","socks4","1","84","3681","4360","2025-12-07T20:37:27.099Z","3225"
"171.250.222.43","elite","AS7552","VN","Viettel Corporation","245","VIETEL","1080","socks4","1","77","3204","4188","2025-12-07T20:37:27.096Z","4703"
"61.7.138.71","elite","AS131090","TH","CAT Telecom Public Company Limited","192","National Telecom Public Company Limited","4145","socks4","1","89","9724","10963","2025-12-07T20:37:27.096Z","2410"
"31.12.75.95","elite","AS209242","RU","Cloudflare London, LLC","7","Dolgova Alena Andreevna","80","http","23706","100","4","4","2025-12-07T20:37:27.164Z","4206"
"110.77.184.178","elite","AS131090","TH","CAT Telecom Public Company Limited","198","CAT BB","4145","socks4","1","90","9906","11036","2025-12-07T20:37:27.175Z","4789"
"31.146.161.194","elite","AS35805","GE","JSC \"Silknet\"","63","Silknet Gpon","5678","socks4","1","98","10854","11073","2025-12-07T20:37:27.178Z","57"
"72.52.131.65","elite","AS32244","US","Liquid Web, L.L.C","109","SourceDNS","80","socks5","1","96","10586","11023","2025-12-07T20:37:27.182Z","3170"
"102.177.176.147","elite","AS209242","DE","Gerondata LTD","7","Gerondata LTD","80","http","23687","100","45","45","2025-12-07T20:37:27.174Z","3787"
"94.72.158.129","elite","AS57344","BG","Telehouse EAD","32","Rokada","4153","socks4","1","100","4334","4337","2025-12-07T20:37:27.177Z","1789"
"202.139.198.15","elite","AS135566","TH","catCloud","170","N/A","3030","socks4","1","99","4289","4331","2025-12-07T20:37:05.291Z","3899"
"146.120.176.86","elite","AS41124","KZ","ALFA TELECOM s.r.o.","90","BTcom Infocommunications Ltd","5678","socks4","1","64","7051","10972","2025-12-07T20:37:05.000Z","2795"
"103.115.255.1","elite","AS137868","BD","Star Internet Service","185","Md. Murad Hossain Ripon","36331","socks4","1","98","10656","10917","2025-12-07T20:37:05.291Z","3600"
"178.254.168.12","elite","AS393942","SG","WiredISP Inc.","183","Ipxo","4782","socks4","1","72","7961","11084","2025-12-07T20:37:05.065Z","4899"
"163.53.150.138","elite","AS58923","BD","Intercloud","365","InterCloud ltd","1080","socks4","1","98","4283","4361","2025-12-07T20:37:05.293Z","1507"
"94.198.218.62","elite","AS9123","RU","TimeWeb LLC","59","JSC \"TIMEWEB\"","8080","socks4","1","100","1765","1766","2025-12-07T20:37:05.292Z","4828"
"81.12.104.43","elite","AS42337","IR","Respina Networks & Beyond PJSC","83","Respina Networks","3629","socks4","1","92","10228","11085","2025-12-07T20:37:05.293Z","4200"
"211.224.153.241","elite","AS4766","KR","Korea Telecom","281","Korea Telecom","3128","socks4","1","100","2530","2541","2025-12-07T20:37:05.292Z","3004"
"217.219.86.250","elite","AS58224","IR","Iran Telecommunication Company PJS","97","Parsdataprocessingco","5678","socks4","1","99","10853","11013","2025-12-07T20:37:05.286Z","3478"
"174.139.46.100","elite","AS35908","US","Krypt Technologies","155","Krypt Technologies","58841","socks4","1","90","9940","11082","2025-12-07T20:37:05.285Z","35"
